日期时间,代码,中文名称,英文名称,交易类型,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,买一,卖一
2026/02/03 16:08:24,00077,进智公共交通,AMS TRANSPORT,,0.455,0.0,0.0,0.455,0.0,0.0,0.0,0,0,0.425,0.46
2026/02/03 16:08:24,00078,REGAL INT'L,REGAL INT'L,,0.54,0.01,1.8868,0.53,0.52,0.54,0.52,206122,108821,0.53,0.54
2026/02/03 16:08:24,00079,世纪建业,CENTURY LEGEND,,0.095,-0.011,-10.37736,0.106,0.095,0.095,0.095,4000,380,0.094,0.106
2026/02/03 16:08:24,00080,ＣＡＩ控股,CAI CORP,,0.315,0.005,1.6129,0.31,0.315,0.315,0.305,1000000,309500,0.305,0.315
2026/02/03 16:08:20,00081,中国海外宏洋集团,CH OVS G OCEANS,,2.5,0.1,4.16667,2.4,2.41,2.53,2.41,11985000,29785361,2.49,2.5
2026/02/03 16:08:24,00082,疯狂体育,CRAZY SPORTS,,0.091,0.001,1.11111,0.09,0.089,0.092,0.089,450600,40168,0.09,0.091
2026/02/03 16:08:20,00083,信和置业,SINO LAND,,11.71,0.37,3.26279,11.34,11.37,11.72,11.37,10419853,121127311,11.62,11.71
2026/02/03 16:08:24,00084,宝光实业,STELUX HOLDINGS,,0.07,0.0,0.0,0.07,0.0,0.0,0.0,0,0,0.065,0.07
2026/02/03 16:08:20,00085,中电华大科技,CE HUADA TECH,,1.32,0.0,0.0,1.32,1.34,1.34,1.3,2164000,2855200,1.32,1.34
2026/02/03 16:08:24,00086,新鸿基公司,SUN HUNG KAI CO,,4.27,0.08,1.90931,4.19,4.27,4.28,4.18,531007,2249978,4.23,4.27
2026/02/03 16:08:24,00087,太古股份公司Ｂ,SWIRE PACIFIC B,,13.15,0.45,3.5433,12.7,12.84,13.15,12.84,1072302,13934795,13.12,13.18
2026/02/03 16:08:24,00088,TAI CHEUNG HOLD,TAI CHEUNG HOLD,,3.75,-0.03,-0.79365,3.78,3.75,3.75,3.71,66000,246220,3.72,3.75
2026/02/03 16:08:24,00089,大生地产,TAI SANG LAND,,2.3,0.0,0.0,2.3,2.3,2.3,2.3,5000,11500,2.3,2.4
2026/02/03 16:08:24,00090,普星能量,PUXING ENERGY,,1.14,0.03,2.7027,1.11,1.11,1.14,1.11,6000,6720,1.11,1.14
2026/02/03 16:08:24,00092,冠军科技集团,CHAMPION TECH,,0.217,0.005,2.35849,0.212,0.202,0.222,0.202,301250,63239,0.209,0.219
2026/02/03 16:08:24,00093,零在科技金融,ZERO FINTECH,,0.42,0.0,0.0,0.42,0.0,0.0,0.0,0,0,0.405,0.44
2026/02/03 16:08:24,00094,绿心集团,GREENHEART GP,,0.091,0.003,3.40909,0.088,0.09,0.095,0.09,1766600,161155,0.088,0.092
2026/02/03 16:08:24,00095,绿景中国地产,LVGEM CHINA,,0.275,-0.005,-1.78571,0.28,0.28,0.32,0.265,17300000,5041040,0.27,0.275
2026/02/03 16:08:24,00096,YUSEI,YUSEI,,0.57,0.01,1.78571,0.56,0.57,0.57,0.57,40000,22800,0.56,0.61
2026/02/03 16:08:24,00097,恒基发展,HENDERSON INV,,0.174,0.004,2.35294,0.17,0.17,0.174,0.17,308990,53400,0.174,0.175
2026/02/03 16:08:24,00098,兴发铝业,XINGFA ALUM,,7.53,0.02,0.26631,7.51,7.51,7.53,7.31,10000,74140,7.35,7.55
2026/02/03 16:08:24,00099,王氏国际,WONG'S INT'L,,1.4,0.0,0.0,1.4,0.0,0.0,0.0,0,0,1.25,1.4
2026/02/03 16:08:24,00100,MINIMAX-WP,MINIMAX-WP,,581.0,57.5,10.98376,523.5,525.0,599.5,524.0,1833956,1051438853,581.0,581.5
2026/02/03 16:08:24,00101,恒隆地产,HANG LUNG PPT,,9.33,0.09,0.97403,9.24,9.45,9.53,9.23,13660649,127478900,9.32,9.33
2026/02/03 16:08:24,00103,首佳科技,SHOUGANG CENT,,2.99,0.03,1.01351,2.96,2.99,3.0,2.92,48000,141950,2.92,2.99
2026/02/03 16:08:24,00104,ASIA COMM HOLD,ASIA COMM HOLD,,0.227,0.0,0.0,0.227,0.0,0.0,0.0,0,0,0.221,0.228
2026/02/03 16:08:24,00105,凯联国际酒店,ASSO INT HOTELS,,5.21,0.0,0.0,5.21,5.2,5.21,5.2,14000,72920,5.2,5.5
2026/02/03 16:08:24,00106,朗诗绿色管理,LANDSEA MGMT,,0.019,0.0,0.0,0.019,0.0,0.0,0.0,0,0,0.0,0.0
2026/02/03 16:08:20,00107,四川成渝高速公路,SICHUAN EXPRESS,,5.57,0.09,1.64234,5.48,5.32,5.59,5.32,2298000,12660170,5.53,5.57
2026/02/03 16:08:24,00108,国锐生活,GR LIFE STYLE,,2.59,0.03,1.17187,2.56,2.58,2.63,2.51,1886000,4860400,2.52,2.59
2026/02/03 16:08:24,00110,中国长远,CHINA FORTUNE,,0.224,0.0,0.0,0.224,0.0,0.0,0.0,0,0,0.0,0.224
2026/02/03 16:08:24,00111,信达国际控股,CINDA INTL HLDG,,1.08,0.03,2.85715,1.05,1.05,1.09,1.02,3886000,4107580,1.06,1.08
2026/02/03 16:08:24,00113,迪生创建,DICKSON CONCEPT,,5.65,0.04,0.71301,5.61,5.66,5.66,5.64,16500,93180,5.65,5.68
2026/02/03 16:08:24,00114,HERALD HOLD,HERALD HOLD,,0.63,0.0,0.0,0.63,0.63,0.63,0.63,100000,63000,0.62,0.63
2026/02/03 16:08:24,00115,钧濠集团,GRAND FIELD GP,,7.0,0.0,0.0,7.0,0.0,0.0,0.0,0,0,0.0,7.0
2026/02/03 16:08:24,00116,周生生,CHOW SANG SANG,,13.95,0.09,0.64935,13.86,14.12,14.21,13.61,1511125,20915815,13.89,13.95
2026/02/03 16:08:24,00117,天利控股集团,TIANLI HOLDINGS,,0.325,0.005,1.5625,0.32,0.325,0.325,0.325,4000,1300,0.255,0.33
2026/02/03 16:08:24,00118,大同机械,COSMOS MACH,,0.187,0.0,0.0,0.187,0.0,0.0,0.0,0,0,0.183,0.198
2026/02/03 16:08:24,00119,保利置业集团,POLY PROPERTY,,2.32,0.09,4.03587,2.23,2.25,2.32,2.18,27564000,62466802,2.31,2.32
2026/02/03 16:08:24,00120,COSMOPOL INT'L,COSMOPOL INT'L,,0.092,-0.003,-3.1579,0.095,0.092,0.098,0.092,369600,34801,0.092,0.096
2026/02/03 16:08:24,00122,鳄鱼恤,CROCODILE,,1.45,0.0,0.0,1.45,0.0,0.0,0.0,0,0,1.41,1.5
2026/02/03 16:08:24,00123,越秀地产,YUEXIU PROPERTY,,4.49,0.07,1.58371,4.42,4.42,4.55,4.35,13140664,58623407,4.49,4.51
2026/02/03 16:08:24,00124,粤海置地,GD LAND,,0.232,0.007,3.11111,0.225,0.232,0.235,0.228,3708846,856650,0.232,0.234
2026/02/03 16:08:24,00125,新兴光学,SUN HING VISION,,0.36,0.005,1.40846,0.355,0.36,0.36,0.36,8000,2880,0.355,0.41
2026/02/03 16:08:24,00126,佳宁娜,CARRIANNA,,0.132,-0.002,-1.49254,0.134,0.132,0.132,0.132,2000,264,0.117,0.132
2026/02/03 16:08:24,00127,华人置业,CHINESE EST H,,1.26,0.01,0.8,1.25,1.25,1.26,1.22,162000,200335,1.24,1.26
2026/02/03 16:08:24,00128,安宁控股,ENM HOLDINGS,,0.37,0.0,0.0,0.37,0.375,0.375,0.37,248000,92980,0.375,0.38
2026/02/03 16:08:24,00129,泛海集团,ASIA STANDARD,,0.221,-0.008,-3.49345,0.229,0.225,0.225,0.219,242067,53424,0.219,0.221
2026/02/03 16:08:24,00130,慕诗国际,MOISELLE INT'L,,0.176,0.0,0.0,0.176,0.0,0.0,0.0,0,0,0.16,0.196
2026/02/03 16:08:24,00131,卓能（集团）,CHEUK NANG HOLD,,1.16,-0.02,-1.69492,1.18,1.16,1.16,1.16,80000,92800,1.14,1.18
2026/02/03 16:08:24,00132,兴业控股,HING YIP HLDGS,,0.212,0.013,6.53266,0.199,0.212,0.212,0.212,1000,212,0.19,0.212
2026/02/03 16:08:20,00133,招商局中国基金,CHINA MERCHANTS,,14.63,-0.02,-0.13652,14.65,14.66,14.7,14.6,136000,1990760,14.63,14.7
2026/02/03 16:08:24,00135,昆仑能源,KUNLUN ENERGY,,7.99,0.08,1.01138,7.91,7.81,8.04,7.81,21662676,172776762,7.98,7.99
2026/02/03 16:08:24,00136,中国儒意,CHINA RUYI,,2.12,0.02,0.95238,2.1,2.1,2.14,2.1,41573777,87926412,2.11,2.12
2026/02/03 16:08:24,00137,金辉集团,JINHUI HOLDINGS,,0.69,-0.01,-1.42857,0.7,0.69,0.69,0.69,44000,30360,0.69,0.7
2026/02/03 16:08:24,00138,中建富通,CCT FORTIS,,0.065,0.0,0.0,0.065,0.0,0.0,0.0,0,0,0.065,0.07
2026/02/03 16:08:24,00139,小鱼盈通,SMART FISH,,0.175,0.004,2.33918,0.171,0.175,0.18,0.171,7140000,1252250,0.173,0.176
2026/02/03 16:08:24,00142,第一太平,FIRST PACIFIC,,6.17,0.15,2.4917,6.02,6.02,6.21,6.02,3353375,20640167,6.17,6.18
2026/02/03 16:08:24,00144,招商局港口,CHINA MER PORT,,15.81,0.15,0.95786,15.66,15.8,15.99,15.68,2622257,41499973,15.78,15.82
2026/02/03 16:08:24,00145,信能低碳,CCIAM FUTURE EN,,0.224,-0.004,-1.75438,0.228,0.218,0.224,0.217,424120,92912,0.221,0.228
2026/02/03 16:08:24,00146,TAI PING CARPET,TAI PING CARPET,,1.9,0.04,2.15054,1.86,1.85,1.85,1.85,341000,630850,1.9,1.94
2026/02/03 16:08:24,00147,国际商业结算,IB SETTLEMENT,,0.166,-0.004,-2.35295,0.17,0.17,0.17,0.165,21315000,3557595,0.166,0.169
2026/02/03 16:08:20,00148,建滔集团,KINGBOARD HLDG,,31.66,1.0,3.26158,30.66,30.88,31.66,30.7,2189700,68601915,31.56,31.66
2026/02/03 16:08:24,00149,中国农产品交易,CH AGRI-PROD EX,,0.07,0.001,1.44928,0.069,0.069,0.07,0.06,3545997,230296,0.066,0.07
2026/02/03 16:08:24,00150,HYPEBEAST,HYPEBEAST,,0.164,0.001,0.6135,0.163,0.164,0.164,0.164,36400,5969,0.162,0.174
2026/02/03 16:08:24,00151,中国旺旺,WANT WANT CHINA,,4.78,0.03,0.63158,4.75,4.74,4.83,4.74,5362468,25618577,4.77,4.78
2026/02/03 16:08:24,00152,深圳国际,SHENZHEN INT'L,,9.03,0.02,0.22197,9.01,9.01,9.14,8.96,3760355,33908431,9.02,9.03
2026/02/03 16:08:24,00154,北京控股环境集团,BE ENVIRONMENT,,0.53,0.0,-1e-05,0.53,0.0,0.0,0.0,0,0,0.53,0.54
2026/02/03 16:08:24,00156,力宝华润,LIPPO CHINA RES,,0.91,0.01,1.11111,0.9,0.87,0.91,0.86,28610,25417,0.88,0.91
2026/02/03 16:08:24,00157,自然美,NATURAL BEAUTY,,0.47,0.0,0.0,0.47,0.0,0.0,0.0,0,0,0.4,0.5
2026/02/03 16:08:24,00158,万邦投资,MELBOURNE ENT,,62.1,0.0,0.0,62.1,0.0,0.0,0.0,0,0,0.0,63.2
2026/02/03 16:08:24,00159,布莱克万矿业,BROCKMAN MINING,,0.09,0.004,4.65117,0.086,0.086,0.09,0.086,52000,4632,0.086,0.09
2026/02/03 16:08:24,00160,汉国置业,HON KWOK LAND,,0.96,0.0,0.0,0.96,0.0,0.0,0.0,0,0,0.95,1.0
2026/02/03 16:08:24,00162,世纪金花,CENTURY GINWA,,0.035,0.0,0.0,0.035,0.0,0.0,0.0,0,0,0.034,0.035
2026/02/03 16:08:24,00163,英皇国际,EMPEROR INT'L,,0.202,0.002,1.0,0.2,0.201,0.205,0.198,280000,55790,0.199,0.202
2026/02/03 16:08:24,00164,中国宝力科技,CHINA BAOLI TEC,,0.39,0.005,1.2987,0.385,0.39,0.4,0.39,150300,59136,0.39,0.4
2026/02/03 16:08:24,00165,中国光大控股,CHINA EB LTD,,9.77,0.25,2.62606,9.52,9.6,9.92,9.56,5578400,54095168,9.72,9.77
2026/02/03 16:08:24,00166,新时代集团控股,NEW TIMES CORP,,0.043,-0.002,-4.44444,0.045,0.043,0.044,0.042,5357500,229713,0.042,0.043
2026/02/03 16:08:24,00167,IDT INT'L,IDT INT'L,,2.45,0.2,8.88889,2.25,2.25,2.49,2.25,414000,992340,2.32,2.45
2026/02/03 16:08:20,00168,青岛啤酒股份,TSINGTAO BREW,,50.55,0.35,0.69721,50.2,50.65,51.1,50.0,5955548,300774157,50.5,50.55
2026/02/03 16:08:24,00169,万达酒店发展,WANDA HOTEL DEV,,0.095,0.0,0.0,0.095,0.093,0.095,0.093,298000,27914,0.093,0.097
2026/02/03 16:08:24,00171,银建国际,SILVER GRANT,,0.085,0.0,0.0,0.085,0.083,0.083,0.083,100000,8300,0.084,0.087
2026/02/03 16:08:20,00173,嘉华国际,K. WAH INT'L,,2.55,-0.03,-1.16279,2.58,2.59,2.64,2.55,1925139,4962585,2.55,2.57
2026/02/03 16:08:24,00174,盛洋投资,GEMINI INV,,0.215,0.0,0.0,0.215,0.0,0.0,0.0,0,0,0.2,0.238
2026/02/03 16:08:24,00175,吉利汽车,GEELY AUTO,,15.83,-0.02,-0.12618,15.85,16.01,16.1,15.53,46381183,730845433,15.82,15.83
2026/02/03 16:08:24,00176,先机企业集团,SUPERACTIVE GP,,0.013,0.0,0.0,0.013,0.0,0.0,0.0,0,0,0.0,0.0
2026/02/03 16:08:24,00177,江苏宁沪高速公路,JIANGSU EXPRESS,,10.46,0.09,0.86789,10.37,10.32,10.58,10.3,5648449,58751497,10.45,10.46
2026/02/03 16:08:24,00178,莎莎国际,SA SA INT'L,,0.6,0.01,1.69492,0.59,0.59,0.6,0.59,720000,426500,0.59,0.6
2026/02/03 16:08:24,00179,德昌电机控股,JOHNSON ELEC H,,26.68,0.68,2.61539,26.0,26.2,26.86,26.12,5342187,141830230,26.58,26.68
2026/02/03 16:08:24,00180,开达集团,KADER HOLDINGS,,0.216,-0.001,-0.46083,0.217,0.0,0.0,0.0,0,0,0.195,0.216
2026/02/03 16:08:24,00181,闽港控股,FUJIAN HOLDINGS,,0.118,0.0,0.0,0.118,0.0,0.0,0.0,4000,372,0.096,0.124
2026/02/03 16:08:24,00182,协合新能源,CONCORD NE,,0.315,-0.005,-1.5625,0.32,0.32,0.32,0.315,4920000,1567800,0.315,0.32
2026/02/03 16:08:24,00183,宏辉集团,WINFULL GP,,0.178,0.0,0.0,0.178,0.0,0.0,0.0,0,0,0.17,0.199
2026/02/03 16:08:24,00184,激成投资,KECK SENG INV,,2.3,0.0,0.0,2.3,2.3,2.3,2.3,2000,4600,2.29,2.45
1970/01/01 16:08:24,00185,正商实业,ZENSUN ENT,,0.13,0.0,0.0,0.13,0.0,0.0,0.0,0,0,0.119,0.154
2026/02/03 16:08:24,00186,敏捷控股,NIMBLE HOLDINGS,,0.158,0.0,1e-05,0.158,0.158,0.158,0.158,30000,4740,0.0,0.158
2026/02/03 16:08:24,00187,京城机电股份,JINGCHENG MAC,,4.12,0.15,3.77834,3.97,4.06,4.16,4.04,3662000,15011780,4.12,4.13
2026/02/03 16:08:24,00188,新华汇富金融,SUNWAH KINGSWAY,,0.243,0.0,0.0,0.243,0.243,0.243,0.243,44000,10612,0.243,0.25
2026/02/03 16:08:24,00189,东岳集团,DONGYUE GROUP,,12.21,0.48,4.09207,11.73,11.99,12.21,11.74,9965829,119201669,12.2,12.21
2026/02/03 16:08:24,00191,丽新国际,LAI SUN INT'L,,0.68,0.0,0.0,0.68,0.0,0.0,0.0,0,0,0.64,0.68
2026/02/03 16:08:24,00193,冠中地产,CAPITAL ESTATE,,0.22,0.0,0.0,0.22,0.209,0.22,0.208,102500,21517,0.213,0.22
2026/02/03 16:08:24,00194,廖创兴企业,LIU CHONG HING,,4.4,0.0,0.0,4.4,0.0,0.0,0.0,0,0,4.4,4.45
2026/02/03 16:08:24,00195,绿科科技国际,GREENTECH INTL,,0.28,0.0,0.0,0.28,0.0,0.0,0.0,0,0,0.0,0.0
2026/02/03 16:08:24,00196,宏华集团,HONGHUA GROUP,,0.196,0.001,0.51282,0.195,0.198,0.198,0.191,918000,177955,0.195,0.198
2026/02/03 16:08:24,00197,亨泰,HENG TAI,,0.31,0.04,14.81482,0.27,0.275,0.325,0.275,210661,63703,0.29,0.31
2026/02/03 16:08:24,00199,德祥地产,ITC PROPERTIES,,1.12,0.03,2.75229,1.09,1.15,1.15,1.06,1560000,1687280,1.07,1.12
2026/02/03 16:08:20,00200,新濠国际发展,MELCO INT'L DEV,,4.52,0.25,5.8548,4.27,4.27,4.57,4.27,13353200,59724392,4.51,4.52
2026/02/03 16:08:24,00201,华大酒店,MAGNIFICENT,,0.07,0.0,0.0,0.07,0.07,0.07,0.07,10000,700,0.069,0.07
2026/02/03 16:08:24,00202,润中国际控股,EVERCHINA INT'L,,0.1,-0.001,-0.9901,0.101,0.0,0.0,0.0,200000,20200,0.09,0.1
2026/02/03 16:08:24,00204,资本界金控,CAPITAL REALM,,0.211,-0.001,-0.4717,0.212,0.201,0.214,0.198,1400000,284885,0.209,0.211
2026/02/03 16:08:24,00205,BFB HEALTH,BFB HEALTH,,0.89,-0.01,-1.11111,0.9,0.91,0.91,0.89,70000,63200,0.89,0.9
2026/02/03 16:08:24,00206,华商能源,CM-ENERGY,,0.5,0.0,0.0,0.5,0.52,0.55,0.485,5221000,2660005,0.5,0.51
2026/02/03 16:08:24,00209,瀛晟科学,WINSHINE SCI,,0.23,0.0,0.0,0.23,0.24,0.242,0.209,11230010,2529752,0.225,0.23
2026/02/03 16:08:24,00210,达芙妮国际,DAPHNE INT'L,,0.395,-0.005,-1.25,0.4,0.4,0.405,0.395,714000,283980,0.395,0.405
2026/02/03 16:08:24,00211,STYLAND HOLD,STYLAND HOLD,,0.244,0.0,0.0,0.244,0.0,0.0,0.0,0,0,0.238,0.28
2026/02/03 16:08:24,00212,NANYANG HOLD,NANYANG HOLD,,29.8,0.0,0.0,29.8,0.0,0.0,0.0,0,0,28.8,30.38
2026/02/03 16:08:24,00213,NATIONAL ELEC H,NATIONAL ELEC H,,0.38,0.0,0.0,0.38,0.4,0.4,0.4,4000,1600,0.37,0.38
2026/02/03 16:08:24,00214,汇汉控股,ASIA ORIENT,,0.27,0.0,0.0,0.27,0.25,0.275,0.243,24000,6140,0.25,0.27
2026/02/03 16:08:24,00215,和记电讯香港,HUTCHTEL HK,,1.15,0.01,0.87719,1.14,1.15,1.16,1.14,2569391,2951869,1.14,1.15
2026/02/03 16:08:24,00216,建业实业,CHINNEY INV,,0.58,0.0,0.0,0.58,0.0,0.0,0.0,0,0,0.58,0.62
2026/02/03 16:08:24,00217,中国诚通发展集团,CHINA CHENGTONG,,0.122,0.001,0.82645,0.121,0.117,0.122,0.115,7608000,887930,0.121,0.122
2026/02/03 16:08:24,00218,申万宏源香港,SWHYHK,,1.27,-0.06,-4.51128,1.33,1.33,1.35,1.27,3148760,4086925,1.27,1.31
2026/02/03 16:08:24,00219,顺豪物业,SHUNHO PROPERTY,,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0,0,0.69,0.75
2026/02/03 16:08:24,00220,统一企业中国,U-PRESID CHINA,,7.56,-0.21,-2.7027,7.77,7.75,7.8,7.56,8285428,62966584,7.56,7.57
2026/02/03 16:08:24,00222,闽信集团,MIN XIN HOLD,,3.26,-0.06,-1.80723,3.32,3.29,3.29,3.27,340000,1115200,3.23,3.26
2026/02/03 16:08:24,00223,易生活控股,ELIFE HLDGS,,0.123,0.004,3.36135,0.119,0.122,0.123,0.122,783000,95799,0.119,0.123
2026/02/03 16:08:24,00224,建生国际,PIONEER GLOBAL,,0.57,0.0,0.0,0.57,0.0,0.0,0.0,0,0,0.52,0.57
2026/02/03 16:08:24,00225,博富临置业,POKFULAM,,5.95,0.0,0.0,5.95,0.0,0.0,0.0,0,0,5.93,5.95
2026/02/03 16:08:24,00227,第一上海,FIRST SHANGHAI,,0.26,0.0,0.0,0.26,0.26,0.275,0.26,520000,136240,0.26,0.265
2026/02/03 16:08:24,00228,中能控股,CHINA ENERGY,,1.77,0.2,12.73885,1.57,1.59,1.78,1.59,2573150,4359846,1.73,1.77
2026/02/03 16:08:24,00229,利民实业,RAYMOND IND,,0.92,0.0,0.0,0.92,0.92,0.92,0.92,5000,4600,0.92,0.95
2026/02/03 16:08:24,00230,五矿地产,MINMETALS LAND,,0.98,0.0,0.0,0.98,0.98,0.98,0.98,4450000,4361000,0.98,0.99
2026/02/03 16:08:24,00232,大陆航空科技控股,CON AERO TECH,,0.172,0.01,6.17284,0.162,0.161,0.172,0.161,27476000,4628642,0.17,0.172
2026/02/03 16:08:24,00234,新世纪集团,NEW CENTURY GP,,0.034,0.0,1e-05,0.034,0.034,0.034,0.034,972600,32992,0.034,0.037
2026/02/03 16:08:24,00235,中策资本控股,CSC HOLDINGS,,0.03,0.001,3.44827,0.029,0.029,0.03,0.029,8415000,245350,0.029,0.03
2026/02/03 16:08:24,00236,香港生力啤,SAN MIGUEL HK,,1.2,0.0,0.0,1.2,0.0,0.0,0.0,210,237,1.17,1.2
2026/02/03 16:08:24,00237,安全货仓,SAFETY GODOWN,,2.01,-0.03,-1.47059,2.04,2.02,2.02,2.01,10000,20160,2.0,2.08
2026/02/03 16:08:24,00239,白花油,PAK FAH YEOW,,2.35,-0.09,-3.68853,2.44,2.36,2.36,2.35,15000,35375,2.35,2.5
