品种代码,品种名称,纳入日期
688061,灿瑞科技,2023-10-18
688031,星环科技,2023-10-18
603163,圣晖集成,2023-10-13
688459,哈铁科技,2023-10-12
603052,可川科技,2023-10-11
688073,毕得医药,2023-10-11
688409,富创精密,2023-10-10
688275,万润新能,2023-10-09
688137,近岸蛋白,2023-10-09
688392,骄成超声,2023-09-27
688252,天德钰,2023-09-27
603057,紫燕食品,2023-09-26
688387,信科移动,2023-09-26
688132,邦彦技术,2023-09-25
688428,诺诚健华,2023-09-21
688448,磁谷科技,2023-09-21
688035,德邦科技,2023-09-19
688455,科捷智能,2023-09-15
688391,钜泉科技,2023-09-13
603182,嘉华股份,2023-09-11
688114,华大智造,2023-09-11
688293,奥浦迈,2023-09-04
603237,五芳斋,2023-08-31
688351,微电生理,2023-08-31
688416,恒烁股份,2023-08-29
688439,振华风光,2023-08-28
688370,丛麟科技,2023-08-25
688247,宣泰医药,2023-08-25
688381,帝奥微,2023-08-23
688271,联影医疗,2023-08-22
688292,浩瀚深度,2023-08-18
603255,鼎际得,2023-08-18
688403,汇成股份,2023-08-18
688401,路维光电,2023-08-17
688203,海正生材,2023-08-16
600388,龙净环保,2023-08-14
688041,海光信息,2023-08-14
688273,麦澜德,2023-08-11
688205,德科立,2023-08-09
688373,盟科药业,2023-08-07
688373,盟科药业,2023-08-07
688371,菲沃泰,2023-08-02
603201,常润股份,2023-07-31
688130,晶华微,2023-07-31
688253,英诺特,2023-07-28
603211,晋拓股份,2023-07-25
688382,益方生物,2023-07-25
688231,隆达股份,2023-07-24
688375,国博电子,2023-07-24
600726,华电能源,2023-07-17
600601,方正科技,2023-07-17
688332,中科蓝讯,2023-07-17
600382,广东明珠,2023-07-17
603170,宝立食品,2023-07-17
900937,华电B股,2023-07-17
688353,华盛锂电,2023-07-13
603235,天新药业,2023-07-12
688322,奥比中光,2023-07-07
688400,凌云光,2023-07-06
688237,超卓航科,2023-07-03
601089,福元医药,2023-06-30
688297,中无人机,2023-06-29
688349,三一重能,2023-06-26
688047,龙芯中科,2023-06-26
600239,云南城投,2023-06-12
600182,S佳通,2023-06-12
688309,恒誉环保,2023-06-12
600226,瀚叶股份,2023-06-12
600241,时代万恒,2023-06-12
688348,昱能科技,2023-06-08
688120,华海清科,2023-06-08
688251,井松智能,2023-06-06
688119,中钢洛耐,2023-06-06
688327,云从科技,2023-05-29
688045,必易微,2023-05-26
688213,思特威,2023-05-22
603272,联翔股份,2023-05-22
603039,泛微网络,2023-05-15
600719,大连热电,2023-05-15
603097,江苏华辰,2023-05-12
603206,嘉环科技,2023-05-08
688170,德龙激光,2023-05-04
688290,景业智能,2023-05-04
603191,望变电气,2023-04-28
688320,禾川科技,2023-04-28
688046,药康生物,2023-04-25
688325,赛微微电,2023-04-24
688052,纳芯微,2023-04-24
600938,中国海油,2023-04-21
688072,拓荆科技,2023-04-20
688279,峰�G科技,2023-04-20
688209,英集芯,2023-04-19
688326,经纬恒润,2023-04-19
688125,安达智能,2023-04-17
688302,海创药业,2023-04-12
688153,唯捷创芯,2023-04-12
688337,普源精电,2023-04-10
688295,中复神鹰,2023-04-06
688048,长光华芯,2023-04-03
688331,荣昌生物,2023-03-31
688193,仁度生物,2023-03-30
603051,鹿山新材,2023-03-27
603209,兴通股份,2023-03-24
688197,首药控股,2023-03-23
688238,和元生物,2023-03-22
688306,均普智能,2023-03-22
688150,莱特光电,2023-03-20
688207,格灵深瞳,2023-03-17
688102,斯瑞新材,2023-03-16
688175,高凌信息,2023-03-15
688115,思林杰,2023-03-14
688163,赛伦生物,2023-03-13
603070,万控智造,2023-03-10
688281,华秦科技,2023-03-07
603132,金徽股份,2023-02-22
603215,比依股份,2023-02-20
688267,中触媒,2023-02-16
603122,合富中国,2023-02-16
688283,坤恒顺维,2023-02-15
688261,东微半导,2023-02-10
688225,亚信安全,2023-02-09
688173,希荻微,2023-01-30
688270,臻镭科技,2023-01-30
688223,晶科能源,2023-01-30
603102,百合股份,2023-01-30
688171,纬德信息,2023-01-30
603150,万朗磁塑,2023-01-30
688062,迈威生物,2023-01-18
688220,翱捷科技,2023-01-16
688259,创耀科技,2023-01-12
688234,天岳先进,2023-01-12
688176,亚虹医药,2023-01-09
688262,国芯科技,2023-01-06
600941,中国移动,2023-01-05
603176,汇通集团,2023-01-03
688227,品高股份,2022-12-30
688236,春立医疗,2022-12-30
688265,南模生物,2022-12-28
688206,概伦电子,2022-12-28
688210,统联精密,2022-12-27
688167,炬光科技,2022-12-26
603230,内蒙新华,2022-12-26
600927,永安期货,2022-12-23
688248,南网科技,2022-12-22
688032,禾迈股份,2022-12-20
603071,物产环能,2022-12-16
603216,梦天家居,2022-12-15
688235,百济神州,2022-12-15
688246,嘉和美康,2022-12-14
688110,东芯股份,2022-12-12
688192,迪哲医药,2022-12-12
688151,华强科技,2022-12-06
688230,芯导科技,2022-12-01
688112,鼎阳科技,2022-12-01
688049,炬芯科技,2022-11-29
688190,云路股份,2022-11-28
600935,华塑股份,2022-11-28
603219,富佳股份,2022-11-22
688082,盛美上海,2022-11-18
688075,安旭生物,2022-11-18
688232,新点软件,2022-11-17
688182,灿勤科技,2022-11-16
603048,浙江黎明,2022-11-16
688212,澳华内镜,2022-11-15
688105,诺唯赞,2022-11-15
600515,海南机场,2022-11-14
688107,安路科技,2022-11-14
603213,镇洋发展,2022-11-11
688162,巨一科技,2022-11-10
688739,成大生物,2022-10-28
688257,新锐股份,2022-10-27
605138,盛泰集团,2022-10-27
688280,精进电动,2022-10-27
688211,中科微至,2022-10-26
688553,汇宇制药,2022-10-26
605566,福莱蒽特,2022-10-25
688255,凯尔达,2022-10-25
688737,中自科技,2022-10-24
605555,德昌股份,2022-10-21
688285,高铁电气,2022-10-20
688722,同益中,2022-10-19
600221,海航控股,2022-10-17
900945,海控B股,2022-10-17
688772,珠海冠宇,2022-10-17
605567,春雪食品,2022-10-13
688697,纽威数控,2022-09-19
605598,上海港湾,2022-09-19
688701,卓锦股份,2022-09-16
605033,美邦股份,2022-09-16
600955,维远股份,2022-09-15
688707,振华新材,2022-09-14
688103,国力股份,2022-09-13
600191,华资实业,2022-09-13
688622,禾信仪器,2022-09-13
600615,丰华股份,2022-09-13
688091,上海谊众,2022-09-09
605599,菜百股份,2022-09-09
688767,博拓生物,2022-09-08
688187,时代电气,2022-09-07
688121,卓然股份,2022-09-06
688711,宏微科技,2022-09-01
688776,国光电气,2022-08-31
688786,悦安新材,2022-08-26
605577,龙版传媒,2022-08-24
688766,普冉股份,2022-08-23
601728,中国电信,2022-08-22
601825,沪农商行,2022-08-19
605580,恒盛能源,2022-08-19
688728,格科微,2022-08-18
688733,壹石通,2022-08-17
688798,艾为电子,2022-08-16
605069,正和生态,2022-08-16
688787,海天瑞声,2022-08-15
